FuelbedNumber,SiteName,SiteDescription,Ecoregion,VegetationForm,NaturalFireRegime,CoverType,TreeOverstoryLoading,TreeMidstoryLoading,TreeUnderstoryLoading,Snag_class1_foliage_loading,Snag_class1_other_loading,Snag_class1_wood_loading,Snag_class2_loading,Snag_class3_loading,Shrubs_primary_loading,Shrubs_secondary_loading,Shrubs_primary_percent_cover,Shrubs_secondary_percent_cover,Nonwoody_primary_loading,Nonwoody_secondary_loading,Nonwoody_primary_percent_live,Nonwoody_secondary_percent_live,Woody_sound_0_quarter,Woody_sound_quarter_1,Woody_sound_1_3,Woody_sound_3_9,Woody_sound_9_20,Woody_sound_gt20,Woody_rotten_3_9,Woody_rotten_9_20,Woody_rotten_gt20,Woody_stump_sound,Woody_stump_rotten,Woody_stump_lightered,LLM_litter_depth,LLM_litter_percent_cover,LLM_lichen_depth,LLM_lichen_percent_cover,LLM_moss_depth,LLM_moss_percent_cover,LLM_moss_type,LLM_litterneedle_short_percent_cover,LLM_litterneedle_long_percent_cover,LLM_litterneedle_other_percent_cover,LLM_litterneedle_broadleaf_deciduous_percent_cover,LLM_litterneedle_broadleaf_evergreen_percent_cover,LLM_litterneedle_palmfrond_percent_cover,LLM_litterneedle_grass_percent_cover,DuffLower_percent,DuffLower_depth,DuffLower_derivation,DuffUpper_percent,DuffUpper_depth,DuffUpper_derivation,GroundFuel_basalAccumulations_depth,GroundFuel_basalAccumulations_radius,GroundFuel_basalAccumulations_percent,SquirrelMidden_depth,SquirrelMidden_density,SquirrelMidden_radius,
39,Sugar pine -- Douglas-fir -- oak forest,"Mixed conifer forests with oak midstories are found primarily in the Sierra Nevada, interior coast ranges of Mendocino and Lake counties of California, Klamath Mountains, and the southern Cascade Range. This stand is typical of dry, exposed sites on moderate to steep slopes. Fire scarring and charred bark are evidence that this forest has experienced frequent low severity fires.",260,4,1,"150,151",4.657436,12.450877,2.593345,3.3821718E-5,0.8034992,0.7952158,0.459458,0.45945796,0.133895,0,60.00,-3.00,0.1,0,50.00,-3.00,0.4,2.1000001,1.1,2.6000001,1.5000001,0,0.70000005,0.4,0,0,0.12507467,0,0.80,80.00,-2.00,-2.00,0.30,1.00,2,-1,65.00,34.00,-1,1.00,-1,-1,80.00,0.40,3,80.00,0.40,1,2.50,0.50,20.00,-2.00,-2.00,-2.00,
40,Tobosa -- grama grassland,"Tobosa and grama grasslands are common in the Chihuahuan semidesert of the Southwest. These grasslands were originally dominated by bunchgrasses, but with fire exclusion and grazing, may be invaded by annual grasses, shrubs, pinyon pine, and juniper. This fuelbed represents grasslands that have been invaded by shrubs and annual grasses.","310,320",3,2,223,0,0,0,,,,,,0.648,0,80.00,-3.00,0.080000006,0,70.00,-3.00,,,,,,,,,,,,,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3,-3.00,-3.00,-3,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
41,Idaho fescue -- bluebunch wheatgrass grassland,"Perennial bunchgrass communities used to be more frequent in the Pacific Northwest than they are now. They are being lost due to development, grazing, and the absence of fire. This grassland fuelbed occurs in the Wallowa Mountains and Blue Mountains.","240,260",3,2,"1,2,140,176,240",0,0,0,,,,,,0,0,-3.00,-3.00,0.55,0.1,90.00,60.00,,,,,,,,,,,,,0.20,25.00,-3.00,-3.00,0.10,40.00,2,-1,-1,-1,-1,-1,-1,100.00,-3.00,-3.00,-3,-3.00,-3.00,-3,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
42,Quaking aspen / Engelmann spruce forest,"Quaking aspen forests with mixed conifer understories are common in the U.S. Rocky Mountains and other Western ranges. Quaking aspens occur in nearly pure stands as the seral community after fire, but in some locations are eventually replaced by mixed conifers through fire exclusion.","240,260,310,330,340",4,3,"124,207",6.6798387,0,0.6084788,4.3871823E-5,9.285152,0.4940015,0.37745747,0.2696125,0.0065,0.005475,2.00,90.00,0.3,0.1,90.00,90.00,0.3,0.70000005,1.8000001,9.0,0.6,0,5.0,0,0,0.07108946,0.010005974,0,0.50,60.00,-2.00,-2.00,1.00,0.50,2,-1,-1,30.00,70.00,-1,-1,-1,55.00,1.00,3,55.00,0.30,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
43,Arizona white oak -- gray oak -- Emory oak woodland,"Arid Southwestern evergreen oak woodlands can be composed of many species of oaks, depending on elevation. Lower elevations can include Mexican blue oak (Quercus oblongifolia), and higher elevations can include silverleaf oak (Q. hypoleucoides). This mid-elevation mature forest fuelbed consists of Emory oak (Q. emoryi), Arizona white oak (Q. arizonia), and gray oak (Q. grisea). Various pinyon and juniper species are also common subcomponents of this forest type. This forest type has been subject to grazing and fire exclusion for the past 100 years.","310,320",1,1,"148,227",1.7981567,0,1.8143611,,1.5086193,,0.520719,0.45945796,0.3556,0,95.00,-3.00,0.1,0.4,85.00,85.00,0.1,0.4,0.8,1.0,0,0,,,,0.050287306,0,0,0.30,40.00,-3.00,-3.00,1.00,1.00,2,-1,-1,5.00,80.00,-1,-1,15.00,40.00,0.20,3,40.00,0.20,1,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
44,Scrub oak chaparral shrubland,"Southern California scrub oak chaparral covers over 300,000 acres in the San Bernardino Mountains and along the coast. It is found at elevations of 2,700 to 5,100 feet, where it intersperses with mixed evergreen forest. Chaparral is heavily influenced by fire, which brings the system to an early successional status This fuelbed is a mature scrub oak chaparral type over 50 years old.","260,320",6,2,162,0,0,0,,,,,,4.524125,0,75.00,-3.00,0,0,-3.00,-3.00,0.5,0.25,0.25,0,0,0,,,,,,,2.00,75.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,-1,100.00,-1,-1,75.00,0.00,3,75.00,0.10,1,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
45,Pine -- oak forest,"Madrean mixed pine and oak forests extend north from Mexico to the southern part of New Mexico and Arizona. These forests can be composed of many species of pines and oaks such as Chihuahua pine (Pinus leiophylla), Apache pine (P. engelmannii), southwestern white pine (P. strobiformis), border pinyon (P. discolor), silverleaf oak (Quercus hypoleucoides), netleaf oak (Q. rugosa), Emory oak (Q. emoryi), Arizona white oak (Q. arizonica) and gray oak (Q. grisea). There can also be a subcomponent of juniper, Douglas-fir, and ponderosa pine in these stands. Pine-oak forests occur at elevations between 5,500 and 7,500 feet. This mature stand is about 100 years old, and fire has been excluded for the past 50 years.","310,320",4,1,"148,227",1.2819709,0.880914,0.67169523,,,,2.9650354,2.9650354,0.82586503,0,95.00,-3.00,0.1,0,80.00,-3.00,0.4,1.0,1.0,4.0,1.0,0,3.0000002,0.5,0,0.042071983,0,0,1.50,50.00,-3.00,-3.00,-3.00,-3.00,-3,-1,50.00,-1,40.00,-1,-1,10.00,30.00,0.50,3,30.00,0.50,1,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
46,Chamise chaparral shrubland,"This chaparral type is mostly restricted to coastal mountain areas south from San Diego County north to interior Mendocino County in California, covering more than 1.5 million acres. At lower elevations, chamise (Adenostoma fasciculatum) is found with coastal sage shrubs. At higher elevations, chamise is codominant with arctostaphylos or ceanothus or both.",260,6,2,161,0,0,0,,,,,,5.1784906,0.0745,85.00,85.00,0,0,-3.00,-3.00,0.5,1.0,1.0,0,0,0,,,,,,,1.00,60.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,-1,100.00,-1,-1,60.00,0.20,3,60.00,0.20,1,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
47,Redwood -- tanoak forest,"Coastal redwood occurs with mixed conifers at low elevations in forests of coastal northern California. These forests historically experienced frequent low severity wildfires, as is evident from the numerous fire scars and charred bark on coast redwood trees.",260,2,3,139,4.2261915,9.04959,1.795674,4.557032E-4,4.534366,16.713274,11.762124,11.762124,1.42433,0,70.00,-3.00,0.5,0,70.00,-3.00,0.4,2.0,3.0000002,8.0,12.000001,8.0,6.0000005,8.0,6.0000005,0.21925703,5.0029864,0,1.00,80.00,0.10,0.10,1.70,2.00,1,-1,-1,99.00,-1,1.00,-1,-1,80.00,2.00,4,80.00,2.50,1,5.00,0.83,20.00,-2.00,-2.00,-2.00,
48,Douglas-fir -- tanoak -- madrone -- California bay forest,"Mixed hardwood stands of tanoak, California bay, and Pacific madrone are found in mesic sites scattered throughout the southern and coastal mountains of California. These stands are usually dominated by Douglas-fir in the overstory.",260,4,3,141,9.87941,8.977717,2.8064835,,8.246681,,3.4459345,1.7229673,1.93066,0.9389301,90.00,90.00,0.1,0,80.00,-3.00,0.5,1.0,2.0,2.0,1.5000001,1.5000001,2.0,2.0,4.0,0.07068584,0.103378035,0,1.00,100.00,0.50,5.00,0.50,20.00,2,-1,-1,30.00,20.00,50.00,-1,-1,100.00,0.50,3,100.00,1.00,1,-2.00,-2.00,-2.00,-2.00,-2.00,-2.00,
49,Creosote bush shrubland,"Creosote bush (Larrea tridentata) dominates scrublands in the Mojave, Sonoran, and Chihuahuan deserts throughout the Southwest. Each desert community has a unique shrub and herbaceous component that accompanies creosote bush, and many have a cactus component as well. Historically, these desert communities burned very infrequently due to low fuel presence. Due to fire exclusion and heavy grazing, they are now invading surrounding grasslands or are being invaded by nonnative grasses that change the fire regime. This is a regional fuelbed that spans all 3 desert types.",320,6,4,"166,224",0,0,0,,,,,,0.41519502,0,45.00,-3.00,0.1,0,70.00,-3.00,0.1,0.2,0,0,0,0,,,,,,,0.25,7.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,40.00,50.00,-1,10.00,0.00,0.00,3,0.00,0.00,1,-2.00,-2.00,-2.00,-2.00,-2.00,-2.00,
51,Coastal sage shrubland,"Coastal sage scrub is a California chaparral community of low stature. It is found along the Pacific coast from Monterey Bay to Baja California, although much has been lost to agriculture and urban development. Coastal sage scrub is seral to chaparral and maintained by fire.",260,6,2,160,0,0,0,,,,,,1.2148601,2.26781,70.00,80.00,0,0,-3.00,-3.00,0.1,0.1,0,0,0,0,0,0,0,,,,3.00,90.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,70.00,30.00,-1,-1,33.00,0.00,3,33.00,0.00,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
52,Douglas-fir -- Pacific ponderosa pine / oceanspray forest,"Dry Douglas-fir dominated mixed conifer forests with shrub understories are located in the U.S. Rocky Mountains and northeastern Cascade Range in the dry Douglas-fir zone. Pacific ponderosa pine is a common codominant in this forest type; however, fire exclusion has reduced the presence of the less shade-tolerant ponderosa pine. This fuelbed was developed based on data from the North Cascades National Park Service Complex.",240,2,3,118,1.816831,10.595666,1.1097347,8.0531856E-5,,1.8598604,1.1038166,2.6498685,0.159915,0.055675007,89.00,95.00,0.2,0.010000001,70.00,80.00,0.4,0.90000004,0.4,0.4,1.1,0.6,0.4,2.4,0,0.2156573,0.24504428,0,0.70,90.00,0.10,10.40,0.20,13.60,2,-1,30.00,60.00,3.00,3.00,-1,4.00,85.00,0.80,3,85.00,0.30,1,2.00,0.50,10.00,-2.00,-2.00,-2.00,
53,Pacific ponderosa pine forest,"Open stands of ponderosa pine are fire-dependent forests of the Cascade Range, Sierra Nevada, and U.S. Rocky Mountains. Dense thickets of ponderosa pine are common due to fire exclusion. This fuelbed was developed based on data from Lake Roosevelt National Recreation Area.","330,340",2,1,"10,144",9.217841,0,0.29501283,1.8023414E-4,,4.6387587,1.960354,0.43138,0,0,-3.00,-3.00,0.05,0.010000001,50.00,50.00,0.1,1.5000001,1.5000001,8.0,3.0000002,0,3.0000002,1.5000001,0,0.03871359,0.025882801,0,0.60,85.00,0.20,1.50,0.40,21.00,2,-1,95.00,-1,2.00,-1,-1,3.00,85.00,1.00,3,85.00,0.50,1,2.00,1.50,40.00,-2.00,-2.00,-2.00,
54,Douglas-fir -- white fir -- interior ponderosa pine forest,"Douglas-fir and ponderosa pine are typically codominant in the montane zone of the U.S. Rocky Mountains and the Southwest. Ponderosa pine tends to dominate the lower and drier sites, and Douglas-fir the higher and wetter sites. Fire exclusion has increased the density of shade-tolerant trees such as white fir. This fuelbed was developed based on data from Grand Canyon National Park.","310,320",2,1,"118,119,144",3.3356729,16.536085,5.8805237,,,,39.2404,,0.09804501,0,90.00,-3.00,0.1,0.010000001,75.00,70.00,0.3,2.4,4.9,0.5,3.0000002,4.0,1.0,3.0000002,4.0,0,0.22053981,0,0.80,95.00,0.10,0.50,0.10,0.20,2,-1,20.00,60.00,20.00,-1,-1,-1,95.00,1.20,3,95.00,0.80,1,2.00,1.50,23.00,-2.00,-2.00,-2.00,
55,Western juniper / sagebrush savanna,Western juniper savannas are transitional between ponderosa pine forests and sagebrush steppe in eastern Oregon and throughout the Great Basin. Fire exclusion has resulted in juniper encroachment into bordering sagebrush steppe. This fuelbed was developed based on data from John Day Fossil Beds National Monument.,"330,340",5,2,7,2.5012155,0,1.9750977,,,,,,0.447915,0,80.00,-3.00,0.6,0.010000001,50.00,50.00,0.2,0.4,0.8,0,0,0,0,0,0,,,,0.10,15.00,0.10,3.50,0.10,4.50,2,-1,-1,60.00,-1,-1,-1,40.00,15.00,0.10,3,15.00,0.10,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
56,Sagebrush shrubland,"Sagebrush steppe occurs throughout the Great Basin. Sagebrush densities have increased and native bunchgrass densities have decreased due to fire exclusion. In this sagebrush steppe in eastern Oregon, overgrazing and cultivation have also facilitated establishment of nonnative annual grasses. This fuelbed was developed based on data from John Day Fossil Beds National Monument.","330,340",6,2,"186,187,197,198,199",0,0,0,,,,,,1.5737501,0,80.00,-3.00,0.70000005,0.010000001,50.00,50.00,,,,,,,,,,,,,0.10,10.00,0.20,4.80,0.30,5.30,2,-1,-1,-1,25.00,-1,-1,75.00,0.00,0.00,3,0.00,0.00,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
57,Wheatgrass -- cheatgrass grassland,"Native bunchgrass once dominated the Great Basin. Overgrazing, agriculture and other disturbances have significantly altered these grasslands, which are now dominated by nonnative grass species. This fuelbed was developed based on data from John Day Fossil Beds National Monument.","330,340",3,2,"1,2",0,0,0,,,,,,0,0,-3.00,-3.00,0.1,0.010000001,65.00,45.00,,,,,,,,,,,,,0.10,10.00,0.10,3.20,0.10,1.50,2,-1,-1,-1,5.00,-1,-1,95.00,-3.00,-3.00,-3,-3.00,-3.00,-3,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
58,Western juniper / sagebrush savanna,Juniper savannas are transitional between ponderosa pine forests and sagebrush steppe in eastern Oregon and throughout the Great Basin. Fire exclusion has resulted in juniper encroachment into bordering sagebrush steppe. This stand was prescribed burned 2 years previously to reduce juniper density. This fuelbed was developed based on data from John Day Fossil Beds National Monument.,"330,340",5,2,"7,145",2.359767,0,1.1967022,1.356963E-5,,0.20487073,0.21511671,,0.05246,0,70.00,-3.00,0.1,0.05,70.00,75.00,,,,,,,,,,,,,0.10,10.00,0.10,1.70,0.10,2.30,2,-1,-1,100.00,-1,-1,-1,-1,-2.00,-2.00,-2,-2.00,-2.00,-2,-2.00,-2.00,-2.00,-2.00,-2.00,-2.00,
59,Subalpine fir -- Engelmann spruce -- Douglas-fir -- lodgepole pine forest,"Subalpine fir, Engelmann spruce and lodgepole pine are common in montane forests of Washington, Oregon, and the U.S. Rocky Mountains. This forest type is cool and moist, in a transition zone between the montane mixed conifer forests below and the subalpine forests above.","240,260,330,340",2,4,113,0.34700763,5.218053,0.28749603,0.0014440096,,28.570633,9.317808,6.4011683,1.0032251,0,90.00,-3.00,0.3,0,85.00,-3.00,0.5,1.0,2.0,6.3,3.9,0.3,6.3,3.9,0.3,,,,0.30,36.00,0.20,5.00,0.70,55.00,2,30.00,-1,65.00,-1,5.00,-1,-1,99.00,2.00,3,85.00,1.20,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
60,Sagebrush shrubland,"Sagebrush steppe occurs throughout the Great Basin. Sagebrush densities have increased and native bunchgrass densities have decreased due to fire exclusion. In this sagebrush steppe in eastern Oregon, overgrazing and cultivation have also encouraged invasion of nonnative annual grasses. This area was prescribed burned 2 years previously to reduce sagebrush densities and potentially stimulate native bunchgrass recovery (although this has not yet occurred). This fuelbed was developed based on data from John Day Fossil Beds National Monument.","330,340",6,2,"186,187,197,198,199",0,0,0,,,,,,0.34499002,0,50.00,-3.00,0.1,0.1,50.00,60.00,,,,,,,,,,,,,1.50,3.00,0.10,5.00,-3.00,-3.00,-3,-1,-1,-1,-1,-1,-1,100.00,-2.00,-2.00,-2,-2.00,-2.00,-2,-2.00,-2.00,-2.00,-2.00,-2.00,-2.00,
61,Whitebark pine / subalpine fir forest,"Whitebark pine stands occur at high elevation in Washington, Oregon and the U.S. Rocky Mountains. Whitebark pine is often the seral and dominant tree species in more xeric regions, along with subalpine fir and mountain hemlock. This mature forest (100 to 300 years) contains subalpine fir and whitebark pine. In this stand, many whitebark pine are dead due to white pine blister rust.","240,260,330,340",2,5,115,7.67255,0,3.773386,0.0019150927,,26.862345,26.791506,4.4107966,0.43389,0,89.00,-3.00,0.2,0,60.00,-3.00,0.1,0.4,1.7,4.4,13.6,0,5.4,19.5,0,0.30960396,0.17643185,0,0.80,60.00,-2.00,-2.00,0.50,1.00,2,50.00,-1,25.00,10.00,-1,-1,15.00,80.00,0.70,4,70.00,0.60,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
62,Huckleberry - heather shrublands,"Subalpine meadows of the Pacific Northwest are commonly dominated by mountain huckleberry and heather. Huckleberry is dominant for 7 to 9 years after disturbances such as fires or avalanches, and may be maintained indefinitely on harsh sites. There was a wildfire on this site 7 years earlier.","240,260,330,340",6,5,"8,112,113,164,171",0,0,0,,,,,,0.78232497,0.40352502,85.00,98.00,0.1,0.010000001,85.00,85.00,,,,,,,,,,,,,0.50,10.00,0.10,2.00,0.20,8.00,2,-1,-1,-1,25.00,-1,-1,75.00,-3.00,-3.00,-3,-3.00,-3.00,-3,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
63,Showy sedge -- alpine black sedge grassland,"Montane meadows in the subalpine are often dominated by sedges, grasses, and herbaceous species for up to 100 years after disturbances. Sedges may persist indefinitely in areas above tree line in mountain ranges of the West. These meadows are typically cold and wet, and have a short growing season.","240,330,340",3,5,"171,313",0,0,0,,,,,,0,0,-2.00,-2.00,1.25,0.1,95.00,90.00,,,,,,,,,,,,,0.50,5.00,-3.00,-3.00,0.70,5.00,1,-1,-1,-1,-1,-1,-1,100.00,-2.00,-2.00,-2,-2.00,-2.00,-2,-2.00,-2.00,-2.00,-2.00,-2.00,-2.00,
65,Purple tussockgrass -- California oatgrass grassland,"Coastal prairie grasslands are fire dependent and found on coastal terraces of California, from Monterey to the Oregon border. Over the past 150 years, these prairies have been extensively invaded by nonnative annual grasses due to competition, grazing, cultivation and fire exclusion. These grasslands host a wide diversity of grass and forb species, and local distributions may not be represented by this fuelbed.",260,3,2,169,0,0,0,,,,,,0,0,-2.00,-2.00,1.5000001,0.3,90.00,90.00,,,,,,,,,,,,,0.50,90.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,-1,-1,-1,100.00,90.00,0.10,3,90.00,0.10,1,-2.00,-2.00,-2.00,-2.00,-2.00,-2.00,
66,Bluebunch wheatgrass -- bluegrass grassland,"Prairie grasslands occur throughout the Midwest. This prairie is a mixed-grass prairie that is transitional between short and tall grass prairies in South Dakota. Historically, fire occurred at intervals of less than 35 years.","250,330",3,2,"1,173,182,233",0,0,0,,,,,,0.02944,0,100.00,-3.00,1.0,0.010000001,85.00,70.00,,,,,,,,,,,,,2.50,5.00,-2.00,-2.00,-2.00,-2.00,-2,-1,-1,-1,-1,-1,-1,100.00,70.00,1.50,4,70.00,0.20,1,-2.00,-2.00,-2.00,-2.00,-2.00,-2.00,
67,Interior ponderosa pine -- Douglas-fir forest,Mixed Douglas-fir and ponderosa pine conifer forests of the northern U.S. Rocky Mountains. Fire exclusion has created elevated levels of hazardous fuels.,"330,340",2,1,"118,144",2.529965,3.23433,0,7.404381E-4,,17.84432,9.857099,7.582383,1.598235,0,90.00,-3.00,0.75000006,0,75.00,-3.00,0.5,1.4000001,1.2,4.0,2.0,0,1.6,1.0,0,0.28555053,0.17229672,0,0.70,90.00,-3.00,-3.00,0.20,1.50,2,-1,25.00,25.00,30.00,-1,-1,20.00,80.00,1.00,3,80.00,1.00,1,2.00,0.50,15.00,-2.00,-2.00,-2.00,
69,Western juniper / sagebrush -- bitterbrush shrubland,"This eastern Oregon site has a mix of sagebrush (Artemesia spp.) and bitterbrush (Purshia tridentata) with scattered western juniper. Fire exclusion has resulted in western juniper encroachment into the sagebrush assemblage. Sagebrush shrublands are widespread throughout the Great Basin, with juniper woodlands above them in elevation and grasslands below.","260,330,340",6,2,"7,145,165,186,197",0.027599614,0,0.0034499518,,,,,,1.31303,0,93.00,-3.00,0.2,0,90.00,-3.00,0.2,0.4,0.2,0,0,0,,,,,,,0.20,10.00,-2.00,-2.00,-2.00,-2.00,-2,-1,-1,50.00,-1,-1,-1,50.00,1.00,0.00,3,10.00,0.10,1,0.80,2.50,2.00,-2.00,-2.00,-2.00,
70,Subalpine fir -- lodgepole pine -- whitebark pine -- Engelmann spruce forest,"This fuelbed represents subalpine fir, lodgepole pine, whitebark pine, and Engelmann spruce forests found throughout the Rocky Mountains in the U.S., and in the Columbia Mountains and Interior Plateau in Canada. This forest assemblage is usually found above 6,000 feet.","330,340",2,4,"113,122,125",6.9166155,2.445154,0.19262233,9.127191E-4,,11.241387,8.339163,8.040515,1.1139051,0,85.00,-3.00,0.2,0,70.00,-3.00,0.3,1.2,2.5,12.000001,7.0000005,0,8.700001,5.5000005,0,0.124904305,0.09265735,0,0.80,60.00,-3.00,-3.00,0.50,1.00,2,40.00,-1,40.00,15.00,-1,-1,5.00,90.00,0.60,3,90.00,0.60,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
71,Ohia / Florida hopbush -- kupaoa forest,"Ohia is the sole tree in this dry broadleaf woodland of the Hawaiian submontane zone. Understories consisting of mixed microphyllous shrubs and grasses are common in this woodland. Ohia woodlands are widely distributed throughout Hawaii at elevations between 1,000 and 4,000 feet.",420,1,3,-1,2.9501007,0,0,,,,,,2.05219,0,80.00,-3.00,0.5,0.1,80.00,75.00,0.4,0.5,0.8,0.4,0,0,0.5,0,0,,,,1.20,34.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,-1,95.00,-1,5.00,-3.00,-3.00,-3,-3.00,-3.00,-3,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
72,Ohia / uluhe forest,"Ohia rainforests with uluhe (Dicranopteris linearis) climbing fern understories, are typically open with thick, tall mats of uluhe. These rainforests occur at elevations between 1,500 and 4,400 feet. Although wildfires are uncommon in the rainforests of Hawaii, they can occur in uluhe fern-dominated sites after several weeks of drought.",420,1,4,-1,3.9465363,0,0,,0.08584052,,0.07354392,0.055157937,0.19571002,0,80.00,-3.00,6.0000005,0.3,95.00,95.00,0.2,0.4,0,0,0,0,0,0,0,,,,1.80,95.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,-1,100.00,-1,-1,-3.00,-3.00,-3,-3.00,-3.00,-3,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
73,Koa / pukiawe forest,"Koa-dominated evergreen broadleaf montane seasonal forest with pukiawe (Styphelia tameiameiae) shrub and several nonnative grasses in the understory occur throughout the Hawaiian Islands at elevations between 4,000 and 6,000 feet.",420,1,5,-1,17.98157,0,0,,9.053504,,4.1847305,3.406176,0.272,0,80.00,-3.00,3.0000002,0,80.00,-3.00,0.90000004,1.4000001,4.5,0.1,0.1,0.1,0.1,0.1,0.1,,,,1.80,90.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,-1,90.00,-1,10.00,-3.00,-3.00,-3,-3.00,-3.00,-3,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
74,Mamani -- naio savanna,Mamani- and naio-dominated lowland forests and woodlands with microphyllous shrub understory occur in the subalpine zones throughout the Hawaiian Islands.,420,5,3,-1,2.981464,0,0,,9.883289,,5.031688,2.9253995,0.1204,0,80.00,-3.00,0.70000005,0.020000001,80.00,80.00,0.2,0.70000005,2.2,1.9000001,0,0,1.9000001,0,0,,,,1.00,78.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,-1,60.00,-1,40.00,-3.00,-3.00,-3,-3.00,-3.00,-3,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
75,Slash pine / New Caledonia pine forest,"This fuelbed is a plantation of slash pine with New Caledonia pine in the understory, found in Hawaii.",420,2,6,-1,5.7944703,0,0.12872635,,,,,0.9042111,0.049960006,0,90.00,-3.00,0,0,-3.00,-3.00,0.1,1.2,1.9000001,0.5,1.5000001,1.0,0.5,1.5000001,1.0,,,,2.50,98.00,-3.00,-3.00,-3.00,-3.00,-3,-1,100.00,-1,-1,-1,-1,-1,95.00,2.00,3,95.00,2.00,1,5.00,1.50,20.00,-3.00,-3.00,-3.00,
76,Slash pine / molasses grass forest,"This fuelbed is a plantation of slash pine with molasses grass (Melinus minutiflora) in the understory, planted on the dry uplands of Hawaii.",420,2,6,-1,2.095846,0,0,,,,2.16129,1.668876,0.00825,0,90.00,-3.00,3.0000002,0.020000001,80.00,90.00,0.1,0.4,0.5,0.5,1.5000001,0.3,0.5,1.5000001,0.3,,,,2.20,95.00,-3.00,-3.00,-3.00,-3.00,-3,-1,70.00,-1,-1,-1,-1,30.00,95.00,1.50,3,95.00,3.30,1,-3.00,-3.00,-3.00,-2.00,-2.00,-2.00,
77,Eucalyptus plantation forest,This fuelbed represents the eucalyptus plantations common in Hawaii.,420,1,6,-1,5.48856,7.57944,4.05108,,,,1.6720434,10.169154,0.544,0,90.00,-3.00,0.05,0,80.00,-3.00,0.8,3.3000002,4.2000003,4.0,1.0,6.0000005,2.0,0.5,0.5,,,,1.80,98.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,-1,100.00,-1,-1,98.00,2.00,3,98.00,2.00,1,3.00,0.66,20.00,-2.00,-2.00,-2.00,
78,Florida hopbush - Mauna Loa beggarticks shrubland,This fuelbed represents shrublands of Florida hopbush (Dodonaea viscosa) and other microphyllous shrubs occurring from near sea level into the subalpine zones of Hawaii.,420,6,4,-1,0,0,0,,,,,,2.57208,0,80.00,-3.00,0.90000004,0,80.00,-3.00,1.1,2.5,0.6,0,0,0,0,0,0,,,,1.30,40.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,-1,95.00,-1,5.00,-3.00,-3.00,-3,-3.00,-3.00,-3,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
79,Pili grass -- broomsedge bluestem grassland,Pili grass (Heteropogon contours) is a vigorous native bunchgrass of the Hawaiian coastal lowlands.  This fuelbed represents a Pili grassland that contains nonnative grasses such as broomsedge bluestem.,420,3,2,-1,0,0,0,,,,,,0.324675,0,90.00,-3.00,2.5,0,80.00,-3.00,0.1,0,0,0,0,0,,,,,,,1.00,25.00,-3.00,-3.00,-3.00,-3.00,-3,-1,-1,-1,-1,-1,-1,100.00,-3.00,-3.00,-3,-3.00,-3.00,-3,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,
